seed,fold,method,protocol_sha256,relative_path,bearing_id,condition,label,prediction,probability_0,probability_1,probability_2
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_1.mat,K001,N09_M07_F10,0,0,0.5458552241325378,0.2728517949581146,0.18129298090934753
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_10.mat,K001,N09_M07_F10,0,0,0.5399088263511658,0.2752463221549988,0.18484489619731903
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_11.mat,K001,N09_M07_F10,0,0,0.5433300733566284,0.2751551866531372,0.1815146952867508
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_12.mat,K001,N09_M07_F10,0,0,0.5439329147338867,0.27196988463401794,0.18409712612628937
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_13.mat,K001,N09_M07_F10,0,0,0.5343573093414307,0.2765069007873535,0.1891358643770218
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_14.mat,K001,N09_M07_F10,0,0,0.5286802053451538,0.28066086769104004,0.19065894186496735
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_15.mat,K001,N09_M07_F10,0,0,0.5359687805175781,0.2778025269508362,0.18622863292694092
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_16.mat,K001,N09_M07_F10,0,0,0.540476381778717,0.2756224274635315,0.18390119075775146
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_17.mat,K001,N09_M07_F10,0,0,0.5364828109741211,0.2774740159511566,0.1860431581735611
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_18.mat,K001,N09_M07_F10,0,0,0.5531648993492126,0.26825428009033203,0.17858076095581055
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_19.mat,K001,N09_M07_F10,0,0,0.5379323363304138,0.277428537607193,0.1846391260623932
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_2.mat,K001,N09_M07_F10,0,0,0.5431238412857056,0.2748320996761322,0.18204408884048462
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_20.mat,K001,N09_M07_F10,0,0,0.5280934572219849,0.2811584174633026,0.1907481700181961
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_3.mat,K001,N09_M07_F10,0,0,0.5490678548812866,0.27240902185440063,0.17852312326431274
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_4.mat,K001,N09_M07_F10,0,0,0.5442676544189453,0.2731303870677948,0.1826018989086151
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_5.mat,K001,N09_M07_F10,0,0,0.5410829782485962,0.276348352432251,0.18256863951683044
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_6.mat,K001,N09_M07_F10,0,0,0.5459414720535278,0.27342337369918823,0.18063519895076752
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_7.mat,K001,N09_M07_F10,0,0,0.5429267287254333,0.27395519614219666,0.18311814963817596
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_8.mat,K001,N09_M07_F10,0,0,0.539350152015686,0.27674996852874756,0.18389993906021118
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N09_M07_F10_K001_9.mat,K001,N09_M07_F10,0,0,0.5390669703483582,0.27695176005363464,0.18398120999336243
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_1.mat,K001,N15_M01_F10,0,0,0.42872416973114014,0.3238106667995453,0.247465118765831
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_10.mat,K001,N15_M01_F10,0,0,0.4376703202724457,0.31967616081237793,0.2426535040140152
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_11.mat,K001,N15_M01_F10,0,0,0.4326779246330261,0.3212948739528656,0.24602727591991425
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_12.mat,K001,N15_M01_F10,0,0,0.43370509147644043,0.3222038745880127,0.24409109354019165
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_13.mat,K001,N15_M01_F10,0,0,0.4362034201622009,0.3192206025123596,0.24457599222660065
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_14.mat,K001,N15_M01_F10,0,0,0.4392978549003601,0.31898367404937744,0.24171851575374603
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_15.mat,K001,N15_M01_F10,0,0,0.43374818563461304,0.32245931029319763,0.24379253387451172
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_16.mat,K001,N15_M01_F10,0,0,0.4434557259082794,0.3175199031829834,0.23902437090873718
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001/K001/N15_M01_F10_K001_17.mat,K001,N15_M01_F10,0,0,0.45065054297447205,0.3142244517803192,0.23512500524520874
