seed,fold,method,protocol_sha256,bearing_id,label,prediction,probability_0,probability_1,probability_2
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001,0,0,0.469484169408679,0.3071448389440775,0.22337099015712739
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA04,1,2,0.10396332982927561,0.43875616490840913,0.45728051029145717
7,0,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI04,2,1,0.34633560813963415,0.3521206684410572,0.3015437232330441
7,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001,0,0,0.45372312478721144,0.31364795826375486,0.23262891434133054
7,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA04,1,2,0.10969458930194378,0.4372900303453207,0.4530153814703226
7,0,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI04,2,1,0.34050077609717844,0.3533044047653675,0.3061948172748089
7,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K001,0,0,0.4487333677709103,0.31453077904880045,0.23673584945499898
7,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA04,1,2,0.11120949685573578,0.4365455746650696,0.45224492363631724
7,0,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI04,2,1,0.33867249041795733,0.35280151329934595,0.3085259946063161
7,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K002,0,2,0.32367235608398914,0.3315195392817259,0.34480810202658174
7,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA15,1,2,0.18573227785527707,0.4020521130412817,0.4122156076133251
7,1,NO_AUG,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI14,2,2,0.19376485012471675,0.3968383904546499,0.4093967605382204
7,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K002,0,2,0.3229638446122408,0.3318649914115667,0.34517116732895375
7,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA15,1,2,0.18542826510965824,0.40241732224822047,0.4121544133871794
7,1,UNIFORM_DIFFUSION,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI14,2,2,0.19344630967825652,0.3971885863691568,0.40936510227620604
7,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,K002,0,0,0.3728437557816505,0.2972179435193539,0.329938305914402
7,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KA15,1,2,0.1165519081056118,0.4363047834485769,0.4471433125436306
7,1,QDIFFCL_D_ONLY_EXTERNAL_COMPONENT,624ffd5f0b26ece4b232d9df20272eba2c1985d2ac7305ec2fccd54bdcc435ed,KI14,2,2,0.12770720291882753,0.4274144161492586,0.44487838335335256
